cost,time,preference
10.808672575000001,589.418672575,93.181327425
11.86740429040729,8.68740429040729,14.61259570959271
34.591333478807684,454.4213334788077,191.27866652119232
5.664137333333334,225.42413733333333,30.175862666666667
47.50227180590909,139.2422718059091,95.05772819409091
9.875536783369755,9.085536783369756,7.814463216630246
34.591333478807684,454.4213334788077,191.27866652119232
33.608984760858974,442.438984760859,181.46101523914103
29.447268798992674,364.2772687989927,170.92273120100734
20.522737659294872,257.16273765929486,134.43726234070516
13.737701600000001,548.3177016,116.2822984
23.223494642307696,382.2534946423077,149.04650535769233
30.057352776923082,69.22735277692308,61.472647223076926
44.889548987703364,202.32954898770336,137.37045101229666
22.092747095512816,395.3627470955128,142.83725290448717
40.93403880823718,164.47403880823717,108.82596119176283
19.1708225975,52.3308225975,44.6691774025
6.693925807728922,39.623925807728924,13.676074192271077
25.103228240018314,342.2632282400183,146.13677175998168
8.996117624977998,56.126117624978,29.873882375022
19.473923984615386,232.15392398461537,127.54607601538461
17.460607775000003,511.380607775,122.619392225
31.84444357796703,407.394443577967,177.805556422033
45.641157292831565,202.33115729283156,141.16884270716844
37.51864951388986,164.62864951388985,103.17135048611014
10.869368825,564.389368825,93.910631175
31.60693308424908,372.3869330842491,174.11306691575092
43.20580597171106,202.39580597171107,140.60419402828893
15.255368149999997,463.24536815,121.05463184999999
7.134392960593689,64.14439296059369,23.455607039406313
19.89270749479184,222.38270749479184,97.11729250520816
20.515580543653847,107.65558054365384,70.44441945634615
10.825427215909093,487.22542721590906,84.47457278409091
18.50708379069865,217.31708379069866,91.18291620930135
31.200417737293954,322.64041773729394,154.95958226270605
20.850954702564103,297.1709547025641,139.32904529743593
25.97037524285714,182.34037524285714,100.95962475714286
11.611233605,97.131233605,56.26876639500001
11.456883967857143,551.3868839678571,103.91311603214287
34.293118964957266,88.20311896495727,75.39688103504274
27.427476350929492,401.53747635092947,163.96252364907048
47.50227180590909,139.2422718059091,95.05772819409091
26.957801829761905,349.3278018297619,161.47219817023807
18.453333333333333,282.0833333333333,129.21666666666667
38.824702317174584,292.3147023171746,152.8852976828254
16.27958111111111,332.3395811111111,103.1604188888889
9.363996664649674,122.36399666464968,45.83600333535032
29.297555590909088,174.37755559090908,108.02244440909091
16.91059426111111,403.2905942611111,117.40940573888889
14.358929648611111,240.24892964861112,88.6510703513889
43.20580597171106,202.39580597171107,140.60419402828893
8.234343140587061,70.94434314058707,31.35565685941294
8.32190524642133,9.09190524642133,19.00809475357867
10.808672575000001,589.418672575,93.181327425
40.93403880823718,164.47403880823717,108.82596119176283
13.108682200000002,458.4186822,114.18131779999999
9.28994727625,309.20994727625,72.29005272375001
23.657075646428574,502.1870756464286,152.5129243535714
26.825375850274728,369.2653758502747,163.9346241497253
25.124213005256408,355.23421300525644,158.06578699474358
11.741426561111112,521.3614265611111,91.6385734388889
25.81064210757576,434.36064210757576,159.03935789242425
33.608984760858974,442.438984760859,181.46101523914103
17.88208689876831,147.43208689876832,68.36791310123171
14.168149250438033,277.248149250438,87.35185074956196
27.554021399999996,167.3940214,93.90597860000001
7.30559588736111,287.1955958873611,63.9044041126389
10.37869146489609,63.88869146489609,32.01130853510391
17.2921702875,192.1721702875,86.82782971250002
7.731894012587909,29.10189401258791,20.79810598741209
21.806856083707267,134.47685608370728,84.72314391629274
11.532170608125938,15.592170608125937,36.00782939187406
18.211427951538464,267.2214279515385,112.97857204846154
38.824702317174584,292.3147023171746,152.8852976828254
11.035879642857143,154.23587964285716,78.76412035714286
9.847150124038462,427.30715012403846,74.19284987596156
15.7037623,305.1637623,101.4362377
29.10403448047097,200.81403448047098,111.48596551952905
10.890496147115385,442.2704961471154,82.62950385288464
12.514240825000002,521.324240825,113.77575917499999
24.363366516123513,94.78336651612351,49.41663348387649
9.823281097985348,197.16328109798536,52.23671890201466
11.833339053409091,415.1633390534091,84.3366609465909
15.942195240909092,385.2821952409091,108.6178047590909
28.62677497692308,434.37677497692306,178.9232250230769
12.734741545096153,356.28474154509615,102.51525845490386
21.890986958241758,122.18098695824176,74.41901304175825
15.255368149999997,463.24536815,121.05463184999999
23.657075646428574,502.1870756464286,152.5129243535714
24.363366516123513,94.78336651612351,49.41663348387649
31.200417737293954,322.64041773729394,154.95958226270605
9.2713047525,265.1913047525,62.608695247499995
5.991241500000001,225.2712415,40.2287585
10.042354782706825,8.892354782706825,15.807645217293178
17.70078376590909,185.2207837659091,83.77921623409092
11.035879642857143,154.23587964285716,78.76412035714286
37.51864951388986,164.62864951388985,103.17135048611014
11.532170608125938,15.592170608125937,36.00782939187406
6.052943616602008,290.142943616602,68.157056383398
28.723020310659336,402.35302031065936,177.44697968934068
